"anyo","provincia","comarca","cdmun","municipi","codi_sector","descripcio_sector","consum_kwh","observacions"
2013,"BARCELONA","BAGES","08038","CALLUS",4,"CONSTRUCCIO I OBRES PUBLIQUES","18884",NULL
2013,"BARCELONA","BAGES","08038","CALLUS",6,"TERCIARI","1547605",NULL
2013,"BARCELONA","BAGES","08038","CALLUS",7,"USOS DOMESTICS","3203151",NULL
2013,"BARCELONA","VALLES ORIENTAL","08039","CAMPINS",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","VALLES ORIENTAL","08039","CAMPINS",6,"TERCIARI","590458",NULL
2013,"BARCELONA","VALLES ORIENTAL","08039","CAMPINS",7,"USOS DOMESTICS","1266456",NULL
2013,"BARCELONA","MARESME","08040","CANET DE MAR",1,"PRIMARI","18521",NULL
2013,"BARCELONA","MARESME","08040","CANET DE MAR",3,"INDUSTRIAL","2366889",NULL
2013,"BARCELONA","MARESME","08040","CANET DE MAR",4,"CONSTRUCCIO I OBRES PUBLIQUES","87802",NULL
2013,"BARCELONA","MARESME","08040","CANET DE MAR",6,"TERCIARI","12318333",NULL
2013,"BARCELONA","MARESME","08040","CANET DE MAR",7,"USOS DOMESTICS","18660528",NULL
2013,"BARCELONA","VALLES ORIENTAL","08041","CANOVELLES",1,"PRIMARI","12313",NULL
2013,"BARCELONA","VALLES ORIENTAL","08041","CANOVELLES",3,"INDUSTRIAL","29772960",NULL
2013,"BARCELONA","VALLES ORIENTAL","08041","CANOVELLES",4,"CONSTRUCCIO I OBRES PUBLIQUES","166990",NULL
2013,"BARCELONA","VALLES ORIENTAL","08041","CANOVELLES",6,"TERCIARI","19719182",NULL
2013,"BARCELONA","VALLES ORIENTAL","08041","CANOVELLES",7,"USOS DOMESTICS","17109827",NULL
2013,"BARCELONA","VALLES ORIENTAL","08042","CANOVES I SAMALUS",1,"PRIMARI","42773",NULL
2013,"BARCELONA","VALLES ORIENTAL","08042","CANOVES I SAMALUS",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","VALLES ORIENTAL","08042","CANOVES I SAMALUS",4,"CONSTRUCCIO I OBRES PUBLIQUES","169047",NULL
2013,"BARCELONA","VALLES ORIENTAL","08042","CANOVES I SAMALUS",6,"TERCIARI","1332754",NULL
2013,"BARCELONA","VALLES ORIENTAL","08042","CANOVES I SAMALUS",7,"USOS DOMESTICS","4425048",NULL
2013,"BARCELONA","GARRAF","08043","CANYELLES",1,"PRIMARI","78981",NULL
2013,"BARCELONA","GARRAF","08043","CANYELLES",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","GARRAF","08043","CANYELLES",4,"CONSTRUCCIO I OBRES PUBLIQUES","227503",NULL
2013,"BARCELONA","GARRAF","08043","CANYELLES",6,"TERCIARI","2828688",NULL
2013,"BARCELONA","GARRAF","08043","CANYELLES",7,"USOS DOMESTICS","7503097",NULL
2013,"BARCELONA","ANOIA","08044","CAPELLADES",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08044","CAPELLADES",3,"INDUSTRIAL","44636655","Inclou el consum del sector energètic."
2013,"BARCELONA","ANOIA","08044","CAPELLADES",4,"CONSTRUCCIO I OBRES PUBLIQUES","37100",NULL
2013,"BARCELONA","ANOIA","08044","CAPELLADES",6,"TERCIARI","4972133",NULL
2013,"BARCELONA","ANOIA","08044","CAPELLADES",7,"USOS DOMESTICS","7093692",NULL
2013,"BARCELONA","BERGUEDA","08045","CAPOLAT",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BERGUEDA","08045","CAPOLAT",6,"TERCIARI","73827",NULL
2013,"BARCELONA","BERGUEDA","08045","CAPOLAT",7,"USOS DOMESTICS","145538",NULL
2013,"BARCELONA","VALLES ORIENTAL","08046","CARDEDEU",1,"PRIMARI","104948",NULL
2013,"BARCELONA","VALLES ORIENTAL","08046","CARDEDEU",3,"INDUSTRIAL","13362296",NULL
2013,"BARCELONA","VALLES ORIENTAL","08046","CARDEDEU",4,"CONSTRUCCIO I OBRES PUBLIQUES","315525",NULL
2013,"BARCELONA","VALLES ORIENTAL","08046","CARDEDEU",6,"TERCIARI","25770092",NULL
2013,"BARCELONA","VALLES ORIENTAL","08046","CARDEDEU",7,"USOS DOMESTICS","26690196",NULL
2013,"BARCELONA","BAGES","08047","CARDONA",1,"PRIMARI","143804",NULL
2013,"BARCELONA","BAGES","08047","CARDONA",3,"INDUSTRIAL","16253724",NULL
2013,"BARCELONA","BAGES","08047","CARDONA",4,"CONSTRUCCIO I OBRES PUBLIQUES","248026",NULL
2013,"BARCELONA","BAGES","08047","CARDONA",6,"TERCIARI","6869531",NULL
2013,"BARCELONA","BAGES","08047","CARDONA",7,"USOS DOMESTICS","7600153",NULL
2013,"BARCELONA","ANOIA","08048","CARME",1,"PRIMARI","2078",NULL
2013,"BARCELONA","ANOIA","08048","CARME",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08048","CARME",4,"CONSTRUCCIO I OBRES PUBLIQUES","29511",NULL
2013,"BARCELONA","ANOIA","08048","CARME",6,"TERCIARI","3015642",NULL
2013,"BARCELONA","ANOIA","08048","CARME",7,"USOS DOMESTICS","1052420",NULL
2013,"BARCELONA","BERGUEDA","08049","CASSERRES",1,"PRIMARI","220284",NULL
2013,"BARCELONA","BERGUEDA","08049","CASSERRES",3,"INDUSTRIAL","10932777",NULL
2013,"BARCELONA","BERGUEDA","08049","CASSERRES",4,"CONSTRUCCIO I OBRES PUBLIQUES","134210",NULL
2013,"BARCELONA","BERGUEDA","08049","CASSERRES",6,"TERCIARI","2241534",NULL
2013,"BARCELONA","BERGUEDA","08049","CASSERRES",7,"USOS DOMESTICS","2921313",NULL
2013,"BARCELONA","BERGUEDA","08050","CASTELLAR DEL RIU",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BERGUEDA","08050","CASTELLAR DEL RIU",6,"TERCIARI","415115",NULL
2013,"BARCELONA","BERGUEDA","08050","CASTELLAR DEL RIU",7,"USOS DOMESTICS","208314",NULL
2013,"BARCELONA","VALLES OCCIDENTAL","08051","CASTELLAR DEL VALLES",1,"PRIMARI","188203",NULL
2013,"BARCELONA","VALLES OCCIDENTAL","08051","CASTELLAR DEL VALLES",3,"INDUSTRIAL","96070714",NULL
2013,"BARCELONA","VALLES OCCIDENTAL","08051","CASTELLAR DEL VALLES",4,"CONSTRUCCIO I OBRES PUBLIQUES","487886",NULL
2013,"BARCELONA","VALLES OCCIDENTAL","08051","CASTELLAR DEL VALLES",6,"TERCIARI","26688912",NULL
2013,"BARCELONA","VALLES OCCIDENTAL","08051","CASTELLAR DEL VALLES",7,"USOS DOMESTICS","29746369",NULL
2013,"BARCELONA","BERGUEDA","08052","CASTELLAR DE N'HUG",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BERGUEDA","08052","CASTELLAR DE N'HUG",4,"CONSTRUCCIO I OBRES PUBLIQUES","20537",NULL
2013,"BARCELONA","BERGUEDA","08052","CASTELLAR DE N'HUG",6,"TERCIARI","474253",NULL
