"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
713,"252108","Soses",NULL,"30.1623","33","25",NULL,"201707262100",1643,118,"Segrià"
714,"252115","Sudanell",NULL,"8.1684","33","25",NULL,"201707262100",805,152,"Segrià"
715,"252120","Sunyer",NULL,"12.4924","33","25",NULL,"201707262100",283,211,"Segrià"
716,"252154","Talarn",NULL,"28.2452","25","25",NULL,"201707262100",339,572,"Pallars Jussà"
717,"252167","Talavera","30.6059","30.6059","32","25","20150730","201707262100",303,791,"Segarra"
718,"252173","Tàrrega","87.9464","87.9464","38","25","20160505","201707262100",15155,373,"Urgell"
719,"252189","Tarrés","13.08","13.08","18","25","20100311","201707262100",111,578,"Garrigues"
720,"252192","Tarroja de Segarra","7.9022","7.9022","32","25","20131016","201707262100",175,460,"Segarra"
721,"252206","Térmens","27.5768","27.5768","23","25","20140514","201707262100",1531,208,"Noguera"
722,"252213","Tírvia",NULL,"8.5204","26","25",NULL,"201707262100",120,991,"Pallars Sobirà"
723,"252228","Tiurana","15.6130","15.613","23","25","20160505","201707262100",48,387,"Noguera"
724,"252234","Torà",NULL,"93.3568","32","25",NULL,"201707262100",1327,448,"Segarra"
725,"252249","els Torms",NULL,"13.5075","18","25",NULL,"201707262100",189,476,"Garrigues"
726,"252252","Tornabous","20.0979","20.0979","38","25","20140212","201707262100",823,289,"Urgell"
727,"252265","Torrebesses",NULL,"27.7061","33","25",NULL,"201707262100",305,287,"Segrià"
728,"252271","la Torre de Cabdella",NULL,"165.4219","25","25",NULL,"201707262100",722,1075,"Pallars Jussà"
729,"252287","Torrefarrera",NULL,"23.4442","33","25",NULL,"201707262100",3051,214,"Segrià"
730,"252304","Torregrossa",NULL,"40.4765","27","25",NULL,"201707262100",2302,232,"Pla d'Urgell"
731,"252311","Torrelameu",NULL,"10.7779","23","25",NULL,"201707262100",628,201,"Noguera"
732,"252326","Torres de Segre",NULL,"50.8525","33","25",NULL,"201707262100",2054,119,"Segrià"
733,"252332","Torre-serona",NULL,"5.8821","33","25",NULL,"201707262100",341,197,"Segrià"
734,"252347","Tremp",NULL,"302.5473","25","25",NULL,"201707262100",5401,468,"Pallars Jussà"
735,"252385","Vallbona de les Monges","34.3328","34.3328","38","25","20131016","201707262100",247,481,"Urgell"
736,"252398","les Valls de Valira",NULL,"171.0223","04","25",NULL,"201707262100",744,740,"Alt Urgell"
737,"252402","Vallfogona de Balaguer","27.1067","27.1067","23","25","20131016","201707262100",1601,235,"Noguera"
